 ,Label,Area,Mean,X,Y,Circ.,IntDen,RawIntDen,AR,Round,Solidity
410,NeuralCrestChannel:0837-0603,50.001,983.095,495.855,687.803,0.865,49155.335,72749.000,1.316,0.760,0.955
411,NeuralCrestChannel:0800-0933,54.055,723.500,766.525,658.535,0.746,39108.590,57880.000,1.831,0.546,0.936
412,NeuralCrestChannel:0892-0792,54.055,945.275,651.538,733.203,0.757,51096.575,75622.000,1.710,0.585,0.958
413,NeuralCrestChannel:0753-1090,54.055,1073.162,895.816,619.336,0.899,58009.498,85853.000,1.170,0.855,1.019
414,NeuralCrestChannel:0750-1098,64.190,1215.684,902.803,616.539,0.845,78034.745,115490.000,1.437,0.696,0.945
415,NeuralCrestChannel:0960-0826,62.163,526.717,678.731,789.486,0.872,32742.295,48458.000,1.627,0.615,0.989
416,NeuralCrestChannel:0632-0773,75.001,1193.360,635.699,520.389,0.908,89503.130,132463.000,1.092,0.916,0.941
417,NeuralCrestChannel:0875-0645,45.947,1496.221,529.767,719.649,0.903,68746.117,101743.000,1.035,0.966,0.971
418,NeuralCrestChannel:0597-1105,47.298,1301.800,908.674,491.685,0.920,61572.380,91126.000,1.131,0.884,0.966
419,NeuralCrestChannel:0731-0333,81.758,984.041,274.517,601.436,0.893,80453.018,119069.000,1.121,0.892,1.000
420,NeuralCrestChannel:0865-1091,47.298,583.614,896.825,711.418,0.823,27603.718,40853.000,1.567,0.638,0.921
421,NeuralCrestChannel:0799-0369,73.650,1074.220,303.352,656.737,0.890,79115.840,117090.000,1.209,0.827,0.982
422,NeuralCrestChannel:0887-0574,72.974,1069.546,472.178,729.677,0.920,78048.935,115511.000,1.083,0.924,0.977
423,NeuralCrestChannel:0755-0660,85.136,1023.302,542.513,620.577,0.849,87119.992,128936.000,1.657,0.603,0.984
424,NeuralCrestChannel:0780-0368,52.028,897.545,302.950,641.838,0.911,46697.197,69111.000,1.042,0.960,0.987
425,NeuralCrestChannel:0838-0678,41.217,695.295,557.606,689.341,0.803,28657.785,42413.000,1.385,0.722,0.938
426,NeuralCrestChannel:0681-0706,41.217,982.197,580.905,559.843,0.868,40482.931,59914.000,1.260,0.794,0.984
427,NeuralCrestChannel:0608-0942,62.839,1634.183,774.381,500.214,0.856,102689.779,151979.000,1.277,0.783,0.949
428,NeuralCrestChannel:0567-1137,73.650,987.606,935.259,466.176,0.919,72736.707,107649.000,1.048,0.954,1.005
429,NeuralCrestChannel:0716-1018,47.974,1068.324,836.906,588.616,0.782,51251.307,75851.000,1.744,0.573,0.986
430,NeuralCrestChannel:0827-1086,39.865,561.864,892.950,680.512,0.906,22398.925,33150.000,1.105,0.905,0.952
431,NeuralCrestChannel:0784-0782,47.298,730.314,642.781,644.941,0.836,34542.317,51122.000,1.546,0.647,0.972
432,NeuralCrestChannel:0571-1219,35.811,972.585,1001.778,469.230,0.854,34829.483,51547.000,1.088,0.919,0.938
433,NeuralCrestChannel:0581-0994,48.649,762.528,817.548,477.536,0.858,37096.403,54902.000,1.152,0.868,0.960
434,NeuralCrestChannel:0741-0378,49.325,1075.822,311.150,609.513,0.798,53064.843,78535.000,1.600,0.625,0.924
435,NeuralCrestChannel:0606-1126,47.298,1263.900,925.490,498.238,0.837,59779.791,88473.000,1.371,0.729,0.986
436,NeuralCrestChannel:0742-1094,34.460,678.608,899.308,610.045,0.808,23384.748,34609.000,1.233,0.811,0.990
437,NeuralCrestChannel:0883-0712,51.352,908.329,585.870,725.815,0.794,46644.494,69033.000,1.948,0.513,0.987
438,NeuralCrestChannel:0842-0936,43.919,935.769,769.259,692.409,0.870,41098.479,60825.000,1.185,0.844,1.016
439,NeuralCrestChannel:0642-0878,48.649,1401.333,722.287,527.758,0.902,68173.813,100896.000,1.203,0.831,0.993
440,NeuralCrestChannel:0678-0446,51.352,877.921,366.828,558.203,0.903,45082.988,66722.000,1.051,0.952,0.968
441,NeuralCrestChannel:0738-1079,52.703,862.679,887.086,606.752,0.811,45466.101,67289.000,1.462,0.684,0.907
442,NeuralCrestChannel:0839-0953,77.704,616.017,783.563,689.969,0.920,47866.806,70842.000,1.388,0.720,0.939
443,NeuralCrestChannel:0898-0626,41.217,1161.770,514.916,738.055,0.817,47884.374,70868.000,1.477,0.677,1.000
444,NeuralCrestChannel:0574-1164,79.055,1301.940,956.650,472.351,0.869,102924.917,152327.000,1.374,0.728,0.979
445,NeuralCrestChannel:0670-0784,50.001,934.568,644.881,550.884,0.804,46728.954,69158.000,1.486,0.673,0.943
446,NeuralCrestChannel:0796-0905,51.352,893.632,744.170,654.463,0.817,45889.755,67916.000,1.386,0.722,0.968
447,NeuralCrestChannel:0751-0382,36.487,843.222,314.050,617.626,0.868,30766.595,45534.000,1.179,0.848,0.939
448,NeuralCrestChannel:0543-1137,43.244,989.828,935.025,446.462,0.865,42803.906,63349.000,1.451,0.689,0.941
449,NeuralCrestChannel:0861-0941,36.487,1221.963,774.096,707.559,0.816,44585.684,65986.000,1.294,0.773,0.923
450,NeuralCrestChannel:0894-0926,75.001,733.604,761.709,734.820,0.800,55020.948,81430.000,1.708,0.585,0.961
451,NeuralCrestChannel:0645-0855,54.730,704.827,702.734,529.870,0.921,38575.475,57091.000,1.259,0.794,0.988
452,NeuralCrestChannel:0669-0580,56.757,1060.714,476.975,550.505,0.857,60203.444,89100.000,1.416,0.706,0.966
453,NeuralCrestChannel:0686-0698,49.325,985.863,574.077,563.729,0.804,48627.626,71968.000,1.712,0.584,0.993
454,NeuralCrestChannel:0595-1070,49.325,1387.945,879.692,489.636,0.874,68460.303,101320.000,1.181,0.847,1.000
455,NeuralCrestChannel:0847-0638,49.325,1576.849,525.129,696.701,0.857,77777.985,115110.000,1.495,0.669,0.986
456,NeuralCrestChannel:0811-0796,58.109,399.535,654.025,666.699,0.877,23216.502,34360.000,1.017,0.983,0.966
457,NeuralCrestChannel:0923-0898,43.244,609.531,738.297,758.423,0.854,26358.433,39010.000,1.531,0.653,0.955
458,NeuralCrestChannel:0817-0373,48.649,1406.625,306.366,671.620,0.730,68431.248,101277.000,1.756,0.569,0.906
459,NeuralCrestChannel:0633-0880,46.622,1356.203,723.568,520.249,0.811,63229.157,93578.000,1.504,0.665,0.920
460,NeuralCrestChannel:0737-1182,47.974,1014.676,972.270,605.368,0.869,48677.627,72042.000,1.359,0.736,0.959
461,NeuralCrestChannel:0898-0810,41.892,637.694,666.191,738.050,0.903,26714.518,39537.000,1.072,0.932,0.954
462,NeuralCrestChannel:0886-0634,33.109,1012.816,521.559,728.720,0.884,33532.846,49628.000,1.021,0.980,0.907
463,NeuralCrestChannel:0746-0801,54.730,995.679,658.305,613.593,0.813,54493.915,80650.000,1.635,0.612,0.942
464,NeuralCrestChannel:0580-1087,47.974,700.521,893.404,476.974,0.878,33606.495,49737.000,1.106,0.904,0.953
465,NeuralCrestChannel:0578-1143,56.082,1176.193,939.799,474.735,0.794,65962.975,97624.000,1.346,0.743,0.912
466,NeuralCrestChannel:0740-0801,47.974,1015.761,659.041,607.869,0.855,48729.654,72119.000,1.428,0.700,0.953
467,NeuralCrestChannel:0674-0358,46.622,806.826,294.878,553.927,0.880,37616.004,55671.000,1.296,0.772,1.000
468,NeuralCrestChannel:0772-0350,42.568,760.143,287.954,634.356,0.952,32357.831,47889.000,1.041,0.960,0.969
469,NeuralCrestChannel:0672-0395,35.811,538.075,324.589,552.935,0.835,19269.156,28518.000,1.081,0.925,0.938
470,NeuralCrestChannel:0912-0853,48.649,990.556,701.098,749.584,0.903,48189.783,71320.000,1.248,0.801,1.029
471,NeuralCrestChannel:0644-0891,48.649,1181.639,732.231,529.494,0.882,57485.843,85078.000,1.201,0.833,0.960
472,NeuralCrestChannel:0796-0918,49.325,663.836,754.680,654.408,0.835,32743.647,48460.000,1.379,0.725,0.967
473,NeuralCrestChannel:0660-1175,47.974,1052.873,966.180,542.503,0.790,50510.082,74754.000,1.629,0.614,0.940
474,NeuralCrestChannel:0725-0443,54.730,1171.827,364.709,596.432,0.793,64134.574,94918.000,1.559,0.642,0.920
475,NeuralCrestChannel:0876-0680,39.865,721.576,559.246,721.040,0.882,28765.895,42573.000,1.328,0.753,0.967
